6 City of Interview,7 Type of Outlet,8 Company,10 Outlet Name,43 - NFR Present or Not,44 Area bracket (sq. feet),44 Approx. area (sq. feet),Monthly Revenue (FR),Rev per Sq. Ft (FR),Margin per Sq. Ft (FR),Monthly Revenue (NFR),NFR revenues as % of Total revenues,Rev per Sq. ft (NFR),Margin per Sq. Ft (NFR),Monthly NFR Profit,Cost as % of Revenue,Demographics - Population - Total,Demographics - Male Population,Demographics - Female Population,Demographics - Total Literate Population,Demographics - Male %,Demographics - Female %,Demographics - Literacy %,Grocery / Hypermart - Concentration of Grocery / Hypermart With respect to Population,Restaurant - Concentration of Restaurant With respect to Population,Hospital - Concentration of Hospital With respect to Population,Police Station - Concentration of Police Station  With respect to Population,Higher Education Institutes - Concentration of higher education institutes  With respect to Population,Apparel Brands Budget - Concentration of apparel brands budget  With respect to Population,Apparel Brands Mid Range - Concentration of apparel brands mid range  With respect to Population,Apparel Brands - Luxury - High Range - Concentration of apparel brands - luxury - high range With respect to Population,Electronics Store - Concentration of Electronics Store  With respect to Population,Gym - Concentration of Gym  With respect to Population,Gym Mid-Range - Concentration of gym mid-range  With respect to Population,Pet Store - Concentration of Pet Store  With respect to Population,Car Rental - Concentration of Car Rental  With respect to Population,Clinics - Concentration of Clinics  With respect to Population,Dentist - Concentration of Dentist  With respect to Population,Pharmacy - Concentration of Pharmacy  With respect to Population,Private Sector Bank - Concentration of private sector bank  With respect to Population,Public Sector Bank - Concentration of public sector bank  With respect to Population,Cafe - Concentration of Cafe  With respect to Population,Latitude,Longitude,Address,Aggregated vehicle related requirements,Truck Stops (Auto Repair / Rest),QSR / Restaurant / Dhaba,Virtual C-store,One stop shop for daily farmer needs,Pharmacy,Forecourt Advertising
Mumbai,Urban,Reliance ,Relance Petrol Pump,1,"1) < 5,000",1800,10000000,7407.407407,7185.185185,500000,0.047619048,1111.111111,777.7777778,350000,0.3,276449,90938,79301,135454,0.328950367,0.286855803,0.48997826,1.35649,1.74354,0.2713,0.02532,0.24959,0.01809,0.14107,0.06873,1.46501,0.21704,0,0.06149,0.02532,0.41961,0.28215,0.60047,0.27853,0.15193,0.23874,19.0551081,73.0068708,"Relance Petrol Pump, Sec 18 Palm Beach Road Sanpada, Mumbai",0,0,0,1,0,0,1
Guwahati,Urban,HPCL ,Shree Service Station,1,"4) >20,000",15600,6000000,512.8205128,491.4529915,110000,0.018003273,28.20512821,12.82051282,50000,0.545454545,37220,11248,10451,17958,0.302203117,0.280789898,0.482482536,0.91348,1.37022,0.26867,0.02687,0.21494,0,0,0,1.04781,0.21494,0,0,0,0.26867,0.1612,0.64481,0.05373,0.45674,0.0806,26.11238,91.7331,"Shree Service Station, Betkuchi, Guwahati",1,0,1,0,0,0,0
Guwahati,Urban,HPCL ,Shivam Filling Station,1,"3) 10,000 - 15,000",14200,6000000,563.3802817,535.2112676,90000,0.014778325,25.35211268,11.26760563,40000,0.555555556,115093,34781,32316,55531,0.302199091,0.280781629,0.482488075,1.1469,1.62477,0.26066,0.03475,0.33886,0.03475,0.05213,0.00869,0.74722,0.37361,0,0.06082,0.05213,0.21722,0.26935,0.59951,0.12164,0.50394,0.17377,26.1401348,91.8117088,"Shivam Filling Station, Vip Road, Sixmile,Chachal, Guwahati",1,0,0,1,0,0,0
Guwahati,Urban,IOCL ,Bharali Service Station,1,"3) 10,000 - 15,000",14200,15000000,1408.450704,1384.976526,172500,0.011369254,48.5915493,26.05633803,92500,0.463768116,69310,20945,19461,33441,0.302193046,0.280781994,0.48248449,1.76022,0.77911,0.21642,0.08657,0.18756,0.01443,0.02886,0,1.32738,0.23085,0,0.05771,0.01443,0.07214,0.21642,0.99553,0.17314,0.63483,0.08657,26.1428448,91.7417433,"Bharali Service Station, Lokhra Road, Lalganesh, Guwahati",1,0,1,0,0,0,0
Nagpur,Rural,IOCL ,Ravindra Automobile,1,"2) 5,000-10,000",5000,20000000,5333.333333,5253.333333,205000,0.010146003,164,24,30000,0.853658537,277976,129970,125181,210441,0.46755835,0.450330244,0.757047371,2.45704,1.16197,0.62235,0.10073,0.30938,0,0.04317,0.04317,1.79871,0.21944,0,0.05756,0.01079,0.46767,0.29139,0.87777,0.24103,0.40651,0.15109,21.1483611,79.1231204,"Ravindra Automobile, Near  Village Bagadganj Wardhwan Nagar Nagpur, Nagpur",0,0,0,0,0,0,1
Nagpur,Rural,HPCL ,Swami Narayan Petroleum,1,"2) 5,000-10,000",5000,22500000,6000,5933.333333,100000,0.004424779,80,20,25000,0.75,150167,70479,67845,113998,0.469337471,0.451796999,0.759141489,2.16426,0.80577,0.45283,0.00666,0.23973,0,0.00666,0.01998,1.38513,0.19312,0,0.00666,0,0.27303,0.17314,0.58602,0.07325,0.26637,0.09323,21.1373936,79.1454689,"Swami Narayan Petroleum, Village Kharbi  Near To Swaminarayan Mandir Nagpur, Nagpur",0,0,0,0,1,0,0
Lucknow ,Rural,Reliance ,Reliance Petrol Pump,1,"2) 5,000-10,000",5000,5000000,1333.333333,1253.333333,55000,0.010880317,44,-36,-45000,1.818181818,89617,38669,35602,53550,0.431491793,0.397268375,0.597542877,1.91929,1.62916,0.36823,0.04463,0.62488,0.03348,0.01116,0.01116,1.53989,0.1897,0,0.01116,0,0.34592,0.16738,0.50214,0.14506,0.34592,0.37939,26.8833144,81.043738,"Reliance Petrol Pump, Tiwari Ganj, Lucknow ",0,0,0,0,1,0,0
Guwahati,Urban,Shell ,Fuel City East Shell India Pvt Ltd,1,"2) 5,000-10,000",8400,10000000,1587.301587,1539.68254,205000,0.020088192,97.61904762,21.42857143,45000,0.780487805,9738,3880,3659,5262,0.398439105,0.375744506,0.540357363,0,0,0.20537,0,0.10269,0,0,0,0.10269,0,0,0,0,0,0,0.30806,0,0.20537,0,26.3503918,91.8284263,"Fuel City East Shell India Pvt Ltd, Guwahati Mangaldoi Road,Maruwa Chuburi, Guwahati",0,0,0,1,0,0,0
Guwahati,Urban,BPCL ,Kamakhya Energy Point,1,"3) 10,000 - 15,000",13000,8000000,820.5128205,784.6153846,90000,0.011124845,27.69230769,9.230769231,30000,0.666666667,119403,36084,33526,57611,0.302203462,0.280780215,0.482492065,1.41537,1.38187,0.17587,0.0335,0.37687,0,0.067,0,1.38187,0.3015,0,0.067,0.0335,0.37687,0.24287,0.737,0.24287,0.66162,0.07537,26.1161644,91.7868286,"Kamakhya Energy Point, Bhetapara, Guwahati",1,0,0,1,0,0,0
Ahmedabad,Urban,HPCL ,Highway service center,1,"3) 10,000 - 15,000",13000,17000000,1743.589744,1676.923077,20000,0.001175088,6.153846154,5.538461538,18000,0.1,201434,85551,76821,127397,0.424709831,0.381370573,0.632450331,0.84891,0.86877,0.16383,0.02979,0.09929,0,0.00993,0,1.01274,0.06454,0,0.02979,0.00496,0.07447,0.05461,0.39219,0.09432,0.08936,0.19858,22.9871607,72.5029534,"Highway service center, Sarkhej Cross Road, Near Police Station, Ahmedabad",1,0,1,1,0,0,0
Guwahati,Urban,BPCL ,Bhabani Filling Station,1,"3) 10,000 - 15,000",14500,5000000,459.7701149,436.7816092,60000,0.011857708,16.55172414,-4.137931034,-15000,1.25,34133,10315,9584,16469,0.302200217,0.280783992,0.482494946,0.61524,0.96681,0.14649,0,0.26367,0,0,0,0.93751,0.17578,0,0.0293,0,0.23438,0.14649,0.41016,0.05859,0.35157,0.08789,26.1117473,91.7458407,"Bhabani Filling Station, Lalung Gaon, Guwahati",1,0,1,0,0,0,0
NH 48 (Delhi-Mumbai stretch),Highway,BPCL ,Bp Kalamboli 2,1,"1) < 5,000",2000,70000000,46666.66667,46400,230000,0.003274954,460,80,40000,0.826086957,255422,50385,44776,73020,0.197261786,0.175302049,0.285879838,1.28024,0.84958,0.34844,0.03132,0.14094,0,0.01175,0.00392,0.98269,0.11354,0,0.01958,0.01175,0.13703,0.2584,0.4659,0.16443,0.12528,0.08613,19.0331397,73.1052247,"Bp Kalamboli 2, Kalamboli, NH 48 (Delhi-Mumbai stretch)",0,0,0,0,0,0,0
Patna,Urban,Reliance ,Ganga Sagar Fuel Station,1,"3) 10,000 - 15,000",10000,7000000,933.3333333,886.6666667,60000,0.008498584,24,8,20000,0.666666667,22108,9025,7912,9231,0.408223268,0.357879501,0.417541162,0.04523,0.04523,0.04523,0,0.04523,0,0,0,0,0,0,0,0,0,0,0,0,0.04523,0,25.3236595,86.0236364,"Ganga Sagar Fuel Station, Badpur, Patna",1,0,1,1,0,0,0
